PID,AID,Date,Open,High,Low,Close,Adj Close,Volume,YMD,day,qty_chg_1,mv_1,cum_cost_1,return_1
P1,TEAM,2018-07-13,68.57,68.675003,67.089996,67.190002,67.190002,1170600,2018-07-13,13,0.0,2244.381009292413,2000.0,1.1221905046462066
P1,TEAM,2018-07-16,67.519997,68.400002,66.739998,66.860001,66.860001,670300,2018-07-16,16,0.0,2233.3578219817846,2000.0,1.1166789109908923
P1,TEAM,2018-07-17,66.089996,68.099998,65.150002,67.879997,67.879997,671700,2018-07-17,17,0.0,2267.429254989842,2000.0,1.133714627494921
P1,TEAM,2018-07-18,67.959999,68.5,67.290001,68.220001,68.220001,589200,2018-07-18,18,0.0,2278.786577477843,2000.0,1.1393932887389215
P1,TEAM,2018-07-19,68.230003,68.980003,67.809998,67.860001,67.860001,702000,2018-07-19,19,0.0,2266.761318670063,2000.0,1.1333806593350313
P1,TEAM,2018-07-20,67.849998,68.660004,67.5,67.870003,67.870003,1198900,2018-07-20,20,0.0,2267.095420443939,2000.0,1.1335477102219695
P1,TEAM,2018-07-23,67.489998,67.980003,65.511002,66.400002,66.400002,1383200,2018-07-23,23,0.0,2217.992246908673,2000.0,1.1089961234543366
P1,TEAM,2018-07-24,67.110001,67.110001,64.43,64.489998,64.489998,926900,2018-07-24,24,0.0,2154.1914346200747,2000.0,1.0770957173100373
P1,TEAM,2018-07-25,64.779999,67.120003,64.779999,67.050003,67.050003,803100,2018-07-25,25,0.0,2239.704553159551,2000.0,1.1198522765797754
P1,TEAM,2018-07-26,66.089996,67.769997,65.33000200000001,66.83000200000001,66.83000200000001,1460300,2018-07-26,26,0.0,2232.355750484633,2000.0,1.1161778752423166
P1,TEAM,2018-07-27,77.93,79.82,72.5,73.839996,73.839996,7461900,2018-07-27,27,0.0,2466.5140618484834,2000.0,1.2332570309242417
P1,TEAM,2018-07-30,73.0,75.0,69.129997,71.08000200000001,71.08000200000001,2577300,2018-07-30,30,0.0,2374.3206114098157,2000.0,1.1871603057049078
P1,TEAM,2018-07-31,70.779999,73.809998,70.5,72.410004,72.410004,2057800,2018-07-31,31,0.0,2418.747328812219,2000.0,1.2093736644061095
P1,TEAM,2018-08-01,72.5,74.555,72.410004,73.290001,73.290001,1364600,2018-08-01,01,13.644426065705742,3448.142305687414,3000.0,1.1493807685624713
P1,TEAM,2018-08-02,73.0,75.555,72.864998,74.91999799999999,74.91999799999999,1059300,2018-08-02,02,0.0,3524.8302786326394,3000.0,1.1749434262108798
P1,TEAM,2018-08-03,75.199997,75.199997,73.314003,74.120003,74.120003,934700,2018-08-03,03,0.0,3487.1921756690663,3000.0,1.1623973918896888
P1,TEAM,2018-08-06,74.349998,76.129997,74.309998,75.550003,75.550003,1518000,2018-08-06,06,0.0,3554.4707052072636,3000.0,1.184823568402421
P1,TEAM,2018-08-07,75.910004,76.610001,75.510002,75.980003,75.980003,1086800,2018-08-07,07,0.0,3574.7013119914764,3000.0,1.1915671039971587
P1,TEAM,2018-08-08,75.620003,76.699997,75.247002,76.16999799999999,76.16999799999999,689600,2018-08-08,08,0.0,3583.6401820751194,3000.0,1.1945467273583732
P1,TEAM,2018-08-09,76.199997,78.739998,75.660004,78.309998,78.309998,1234400,2018-08-09,09,0.0,3684.3227367686454,3000.0,1.228107578922882
P1,TEAM,2018-08-10,77.519997,78.699997,77.100998,78.07,78.07,865400,2018-08-10,10,0.0,3673.0313294035345,3000.0,1.2243437764678449
P1,TEAM,2018-08-13,78.07,79.519997,77.980003,78.230003,78.230003,763900,2018-08-13,13,0.0,3680.559138187941,3000.0,1.226853046062647
P1,TEAM,2018-08-14,78.059998,78.910004,76.809998,78.709999,78.709999,870600,2018-08-14,14,0.0,3703.141952918162,3000.0,1.2343806509727206
P1,TEAM,2018-08-15,77.309998,78.639999,77.150002,77.639999,77.639999,1309700,2018-08-15,15,0.0,3652.800675571399,3000.0,1.2176002251904663
